TransactionID,CustomerID,CustomerName,Email,Phone,ProductID,ProductName,Category,Price,StoreID,StoreName,Location,Quantity,TransactionDate,TotalAmount
T016,C001,John Doe,johndoe@example.com,1234567890,P008,Widget H,Widgets,40,S001,Main Store,New York,1,1/16/2025,40
T017,C002,Jane Smith,janesmith@example.com,987654321,P003,Widget C,Widgets,15.49,S002,Secondary Store,Los Angeles,2,1/17/2025,30.98
T018,C003,Emily Johnson,emilyj@example.com,4567891230,P005,Widget E,Widgets,29.99,S001,Main Store,New York,1,1/18/2025,29.99
T019,C004,Michael Brown,michaelb@example.com,7894561230,P007,Widget G,Widgets,35.99,S003,Tertiary Store,Chicago,2,1/19/2025,71.98
T020,C005,Jessica White,jessicaw@example.com,3216549870,P009,Widget I,Widgets,45.99,S002,Secondary Store,Los Angeles,1,1/20/2025,45.99
T021,C001,John Doe,johndoe@example.com,1234567890,P001,Widget A,Widgets,25.99,S001,Main Store,New York,3,1/21/2025,77.97
T022,C002,Jane Smith,janesmith@example.com,987654321,P002,Widget B,Widgets,30.99,S002,Secondary Store,Los Angeles,1,1/22/2025,30.99
T023,C003,Emily Johnson,emilyj@example.com,4567891230,P004,Widget D,Widgets,22.49,S003,Tertiary Store,Chicago,2,1/23/2025,44.98
T024,C004,Michael Brown,michaelb@example.com,7894561230,P003,Widget C,Widgets,15.49,S001,Main Store,New York,1,1/24/2025,15.49
T025,C005,Jessica White,jessicaw@example.com,3216549870,P005,Widget E,Widgets,29.99,S002,Secondary Store,Los Angeles,3,1/25/2025,89.97
T026,C001,John Doe,johndoe@example.com,1234567890,P006,Widget F,Widgets,19.99,S003,Tertiary Store,Chicago,4,1/26/2025,79.96
T027,C002,Jane Smith,janesmith@example.com,987654321,P001,Widget A,Widgets,25.99,S001,Main Store,New York,2,1/27/2025,51.98
T028,C003,Emily Johnson,emilyj@example.com,4567891230,P002,Widget B,Widgets,30.99,S002,Secondary Store,Los Angeles,1,1/28/2025,30.99
T029,C004,Michael Brown,michaelb@example.com,7894561230,P007,Widget G,Widgets,35.99,S003,Tertiary Store,Chicago,1,1/29/2025,35.99
T030,C005,Jessica White,jessicaw@example.com,3216549870,P008,Widget H,Widgets,40,S001,Main Store,New York,2,1/30/2025,80
T031,C001,John Doe,johndoe@example.com,1234567890,P009,Widget I,Widgets,45.99,S002,Secondary Store,Los Angeles,1,1/31/2025,45.99
T032,C002,Jane Smith,janesmith@example.com,987654321,P003,Widget C,Widgets,15.49,S003,Tertiary Store,Chicago,2,1/1/2025,30.98
T033,C003,Emily Johnson,emilyj@example.com,4567891230,P004,Widget D,Widgets,22.49,S001,Main Store,New York,1,1/2/2025,22.49
T034,C004,Michael Brown,michaelb@example.com,7894561230,P005,Widget E,Widgets,29.99,S002,Secondary Store,Los Angeles,3,1/3/2025,89.97
T035,C005,Jessica White,jessicaw@example.com,3216549870,P006,Widget F,Widgets,19.99,S003,Tertiary Store,Chicago,2,1/4/2025,39.98
T036,C001,John Doe,johndoe@example.com,1234567890,P007,Widget G,Widgets,35.99,S001,Main Store,New York,1,1/5/2025,35.99
T037,C002,Jane Smith,janesmith@example.com,987654321,P008,Widget H,Widgets,40,S002,Secondary Store,Los Angeles,1,1/6/2025,40
T038,C003,Emily Johnson,emilyj@example.com,4567891230,P009,Widget I,Widgets,45.99,S003,Tertiary Store,Chicago,2,1/7/2025,91.98
T039,C004,Michael Brown,michaelb@example.com,7894561230,P001,Widget A,Widgets,25.99,S001,Main Store,New York,3,1/8/2025,77.97
T040,C005,Jessica White,jessicaw@example.com,3216549870,P002,Widget B,Widgets,30.99,S002,Secondary Store,Los Angeles,1,1/9/2025,30.99
T041,C001,John Doe,johndoe@example.com,1234567890,P003,Widget C,Widgets,15.49,S003,Tertiary Store,Chicago,4,1/10/2025,61.96
T042,C002,Jane Smith,janesmith@example.com,987654321,P004,Widget D,Widgets,22.49,S001,Main Store,New York,2,1/11/2025,44.98
T043,C003,Emily Johnson,emilyj@example.com,4567891230,P005,Widget E,Widgets,29.99,S002,Secondary Store,Los Angeles,1,1/12/2025,29.99
T044,C004,Michael Brown,michaelb@example.com,7894561230,P006,Widget F,Widgets,19.99,S003,Tertiary Store,Chicago,3,1/13/2025,59.97
T045,C005,Jessica White,jessicaw@example.com,3216549870,P007,Widget G,Widgets,35.99,S001,Main Store,New York,1,1/14/2025,35.99
T046,C001,John Doe,johndoe@example.com,1234567890,P008,Widget H,Widgets,40,S002,Secondary Store,Los Angeles,1,1/15/2025,40
T047,C002,Jane Smith,janesmith@example.com,987654321,P009,Widget I,Widgets,45.99,S003,Tertiary Store,Chicago,2,1/16/2025,91.98
T048,C003,Emily Johnson,emilyj@example.com,4567891230,P001,Widget A,Widgets,25.99,S001,Main Store,New York,3,1/17/2025,77.97
T049,C004,Michael Brown,michaelb@example.com,7894561230,P002,Widget B,Widgets,30.99,S002,Secondary Store,Los Angeles,1,1/18/2025,30.99
T050,C005,Jessica White,jessicaw@example.com,3216549870,P003,Widget C,Widgets,15.49,S003,Tertiary Store,Chicago,4,1/19/2025,61.96
T051,C001,John Doe,johndoe@example.com,1234567890,P004,Widget D,Widgets,22.49,S001,Main Store,New York,2,1/20/2025,44.98
T052,C002,Jane Smith,janesmith@example.com,987654321,P005,Widget E,Widgets,29.99,S002,Secondary Store,Los Angeles,1,1/21/2025,29.99
T053,C003,Emily Johnson,emilyj@example.com,4567891230,P006,Widget F,Widgets,19.99,S003,Tertiary Store,Chicago,3,1/22/2025,59.97
T054,C004,Michael Brown,michaelb@example.com,7894561230,P007,Widget G,Widgets,35.99,S001,Main Store,New York,1,1/23/2025,35.99
T055,C005,Jessica White,jessicaw@example.com,3216549870,P008,Widget H,Widgets,40,S002,Secondary Store,Los Angeles,1,1/24/2025,40
T056,C001,John Doe,johndoe@example.com,1234567890,P009,Widget I,Widgets,45.99,S003,Tertiary Store,Chicago,2,1/25/2025,91.98
T057,C002,Jane Smith,janesmith@example.com,987654321,P001,Widget A,Widgets,25.99,S001,Main Store,New York,3,1/26/2025,77.97
T058,C003,Emily Johnson,emilyj@example.com,4567891230,P002,Widget B,Widgets,30.99,S002,Secondary Store,Los Angeles,1,1/27/2025,30.99
T059,C004,Michael Brown,michaelb@example.com,7894561230,P003,Widget C,Widgets,15.49,S003,Tertiary Store,Chicago,4,1/28/2025,61.96
T060,C005,Jessica White,jessicaw@example.com,3216549870,P004,Widget D,Widgets,22.49,S001,Main Store,New York,2,1/29/2025,44.98
T061,C001,John Doe,johndoe@example.com,1234567890,P005,Widget E,Widgets,29.99,S002,Secondary Store,Los Angeles,1,1/30/2025,29.99
T062,C002,Jane Smith,janesmith@example.com,987654321,P006,Widget F,Widgets,19.99,S003,Tertiary Store,Chicago,3,1/31/2025,59.97
T063,C003,Emily Johnson,emilyj@example.com,4567891230,P007,Widget G,Widgets,35.99,S001,Main Store,New York,1,1/1/2025,35.99
T064,C004,Michael Brown,michaelb@example.com,7894561230,P008,Widget H,Widgets,40,S002,Secondary Store,Los Angeles,1,1/2/2025,40
T065,C005,Jessica White,jessicaw@example.com,3216549870,P009,Widget I,Widgets,45.99,S003,Tertiary Store,Chicago,2,1/3/2025,91.98
T066,C001,John Doe,johndoe@example.com,1234567890,P001,Widget A,Widgets,25.99,S001,Main Store,New York,3,1/4/2025,77.97
T067,C002,Jane Smith,janesmith@example.com,987654321,P002,Widget B,Widgets,30.99,S002,Secondary Store,Los Angeles,1,1/5/2025,30.99
T068,C003,Emily Johnson,emilyj@example.com,4567891230,P003,Widget C,Widgets,15.49,S003,Tertiary Store,Chicago,4,1/6/2025,61.96
T069,C004,Michael Brown,michaelb@example.com,7894561230,P004,Widget D,Widgets,22.49,S001,Main Store,New York,2,1/7/2025,44.98
T070,C005,Jessica White,jessicaw@example.com,3216549870,P005,Widget E,Widgets,29.99,S002,Secondary Store,Los Angeles,1,1/8/2025,29.99
T071,C001,John Doe,johndoe@example.com,1234567890,P006,Widget F,Widgets,19.99,S003,Tertiary Store,Chicago,3,1/9/2025,59.97
T072,C002,Jane Smith,janesmith@example.com,987654321,P007,Widget G,Widgets,35.99,S001,Main Store,New York,1,1/10/2025,35.99
T073,C003,Emily Johnson,emilyj@example.com,4567891230,P008,Widget H,Widgets,40,S002,Secondary Store,Los Angeles,1,1/11/2025,40
T074,C004,Michael Brown,michaelb@example.com,7894561230,P009,Widget I,Widgets,45.99,S003,Tertiary Store,Chicago,2,1/12/2025,91.98
T075,C005,Jessica White,jessicaw@example.com,3216549870,P001,Widget A,Widgets,25.99,S001,Main Store,New York,3,1/13/2025,77.97
T076,C001,John Doe,johndoe@example.com,1234567890,P002,Widget B,Widgets,30.99,S002,Secondary Store,Los Angeles,1,1/14/2025,30.99
T077,C002,Jane Smith,janesmith@example.com,987654321,P003,Widget C,Widgets,15.49,S003,Tertiary Store,Chicago,4,1/15/2025,61.96
T078,C003,Emily Johnson,emilyj@example.com,4567891230,P004,Widget D,Widgets,22.49,S001,Main Store,New York,2,1/16/2025,44.98
T079,C004,Michael Brown,michaelb@example.com,7894561230,P005,Widget E,Widgets,29.99,S002,Secondary Store,Los Angeles,1,1/17/2025,29.99
T080,C005,Jessica White,jessicaw@example.com,3216549870,P006,Widget F,Widgets,19.99,S003,Tertiary Store,Chicago,3,1/18/2025,59.97
T081,C001,John Doe,johndoe@example.com,1234567890,P007,Widget G,Widgets,35.99,S001,Main Store,New York,1,1/19/2025,35.99
T082,C002,Jane Smith,janesmith@example.com,987654321,P008,Widget H,Widgets,40,S002,Secondary Store,Los Angeles,1,1/20/2025,40
T083,C003,Emily Johnson,emilyj@example.com,4567891230,P009,Widget I,Widgets,45.99,S003,Tertiary Store,Chicago,2,1/21/2025,91.98
T084,C004,Michael Brown,michaelb@example.com,7894561230,P001,Widget A,Widgets,25.99,S001,Main Store,New York,3,1/22/2025,77.97
T085,C005,Jessica White,jessicaw@example.com,3216549870,P002,Widget B,Widgets,30.99,S002,Secondary Store,Los Angeles,1,1/23/2025,30.99
T086,C001,John Doe,johndoe@example.com,1234567890,P003,Widget C,Widgets,15.49,S003,Tertiary Store,Chicago,4,1/24/2025,61.96
T087,C002,Jane Smith,janesmith@example.com,987654321,P004,Widget D,Widgets,22.49,S001,Main Store,New York,2,1/25/2025,44.98
T088,C003,Emily Johnson,emilyj@example.com,4567891230,P005,Widget E,Widgets,29.99,S002,Secondary Store,Los Angeles,1,1/26/2025,29.99
T089,C004,Michael Brown,michaelb@example.com,7894561230,P006,Widget F,Widgets,19.99,S003,Tertiary Store,Chicago,3,1/27/2025,59.97
T090,C005,Jessica White,jessicaw@example.com,3216549870,P007,Widget G,Widgets,35.99,S001,Main Store,New York,1,1/28/2025,35.99
T091,C001,John Doe,johndoe@example.com,1234567890,P008,Widget H,Widgets,40,S002,Secondary Store,Los Angeles,1,1/29/2025,40
T092,C002,Jane Smith,janesmith@example.com,987654321,P009,Widget I,Widgets,45.99,S003,Tertiary Store,Chicago,2,1/30/2025,91.98
T093,C003,Emily Johnson,emilyj@example.com,4567891230,P001,Widget A,Widgets,25.99,S001,Main Store,New York,3,1/31/2025,77.97
T094,C004,Michael Brown,michaelb@example.com,7894561230,P002,Widget B,Widgets,30.99,S002,Secondary Store,Los Angeles,1,1/1/2025,30.99
T095,C005,Jessica White,jessicaw@example.com,3216549870,P003,Widget C,Widgets,15.49,S003,Tertiary Store,Chicago,4,1/2/2025,61.96
T096,C001,John Doe,johndoe@example.com,1234567890,P004,Widget D,Widgets,22.49,S001,Main Store,New York,2,1/3/2025,44.98
T097,C002,Jane Smith,janesmith@example.com,987654321,P005,Widget E,Widgets,29.99,S002,Secondary Store,Los Angeles,1,1/4/2025,29.99
T098,C003,Emily Johnson,emilyj@example.com,4567891230,P006,Widget F,Widgets,19.99,S003,Tertiary Store,Chicago,3,1/5/2025,59.97
T099,C004,Michael Brown,michaelb@example.com,7894561230,P007,Widget G,Widgets,35.99,S001,Main Store,New York,1,1/6/2025,35.99
T100,C005,Jessica White,jessicaw@example.com,3216549870,P008,Widget H,Widgets,40,S002,Secondary Store,Los Angeles,1,1/7/2025,40
